,,Date,,,Age group,,,Mortality,,,,,,,
DJ,Australia,2004,2010,F,10,19,20,3.98,2.57,6.17,,,Harding (2014),,
DJ,Australia,2004,2010,F,20,29,81,6.91,5.56,8.59,,,Harding (2014),,
DJ,Australia,2004,2010,F,30,39,137,4.95,4.19,5.85,,,Harding (2014),,
DJ,Australia,2004,2010,F,40,49,313,4.22,3.77,4.71,,,Harding (2014),,
DJ,Australia,2004,2010,F,50,59,467,4.02,3.67,4.4,,,Harding (2014),,
DJ,Australia,2004,2010,F,60,69,237,3.4,3,3.87,,,Harding (2014),,
DJ,Australia,2004,2010,F,70,79,64,3.12,2.44,3.98,,,Harding (2014),,
DJ,Australia,2004,2010,F,80,89,34,2.53,1.81,3.54,,,Harding (2014),,
DJ,Austria,1989,2002,M+F,0,14,6,1.2,0.5,2.6,,,Patterson (2007),,
DJ,Croatia - Zagreb,not stated,1987,M,not stated,not stated,,346,214,528,,,Morrish (2001),,
DJ,Croatia - Zagreb,not stated,1987,F,not stated,not stated,,336,109,784,,,Morrish (2001),,
DJ,Cuba,,,M,0,15,37,7.5,5.3,10.3,,,Collado-Mesa (1997),,
,,,,F,0,15,33,10,6.9,14.6,,,Collado-Mesa (1997),,
PR,USA,1985,2000,F,0,17,14,2.69,1.59,4.55,,,Burnet (2007),,
PR,USA,1985,2000,M,0,17,16,3.64,2.23,5.94,,,Burnet (2007),,
PR,USA,1985,2000,M+F,0,17,30,3.13,2.19,4.47,,,Burnet (2007),,
PR,USA,1985,2000,M+F,0,9,5,1.48,0.62,3.56,,,Burnet (2007),,
PR,USA,1985,2000,M+F,10,13,12,3.81,2.16,6.7,,,Burnet (2007),,
PR,USA,1985,2000,M+F,14,16,4,1.61,0.6,4.29,,,Burnet (2007),,
PR,USA,1985,2000,M+F,17,17,9,15.26,7.94,29.32,,,Burnet (2007),,
PR,USA,1983,1993,F,13,39,47,1.19,0.9,1.59,,,DCCT (2016),,
PR,USA,1983,1993,M,13,39,78,1.04,0.83,1.3,,,DCCT (2016),,
PR ,Bolivia,2005,2017,M+F,0,24,2,2.3,,,,,Duarte Gomez at al (2017),,
PR,Brazil,1974,2015,M+F,,,62,3.13,2.35,4.08,,,Gomes (2017),,
PR,"China, Hong Kong",1975,1987,M,0,54,10,3.44,1.65,6.32,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,"China, Hong Kong",1975,1987,F,0,54,8,6.37,2.75,12.55,,,Morrish (2001),,
PR,"Croatia, Zagreb",1975,1987,M,0,54,22,3.46,2.14,5.28,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,"Croatia, Zagreb",1975,1987,F,0,54,5,3.36,1.09,7.84,,,Morrish (2001),,
PR,"Cuba, Havana",1975,1987,M,0,54,18,6.85,4.06,10.82,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,"Cuba, Havana",1975,1987,F,0,54,10,7.9,3.79,14.53,,,Morrish (2001),,
PR,"Germany, Berlin",1975,1987,M,0,54,44,6.82,4.95,9.15,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,"Germany, Berlin",1975,1987,F,0,54,30,6.55,4.35,9.46,,,Morrish (2001),,
PR,Switzerland,1975,1987,M,0,54,25,3.92,2.53,5.78,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,Switzerland,1975,1987,F,0,54,26,7.42,4.89,10.8,,,Morrish (2001),,
PR,"United Kingdom, London",1975,1987,M,0,54,19,1.88,1.13,2.94,,,Morrish (2001),,No age group specified in paper. Mean age of death in Warsaw for men is 52.4 and women 53.7
PR,"United Kingdom, London",1975,1987,F,0,54,23,3.38,2.14,5.07,,,Morrish (2001),,
PR,Denmark,1987,1989,M+F,0,20,49,4.8,3.5,6.2,,,Sandahl (2017),,
PR,Finland,1970,1974,M+F,0,34,64,3.5,2.7,4.4,,,Harjutsalo (2011),,
PR,Finland,1975,1979,M+F,0,34,68,3.4,2.6,4.3,,,Harjutsalo (2011),,
PR,Finland,1980,1984,M+F,0,34,57,3,2.3,3.9,,,Harjutsalo (2011),,
PR,Finland,1985,1990,M+F,0,34,19,1.9,1.2,2.9,,,Harjutsalo (2011),,
PR,Finland,1970,1974,M+F,15,49,49,1.4,1,1.8,,,Harjutsalo (2011),,
PR,Finland,1975,1979,M+F,15,49,68,1.8,1.4,2.3,,,Harjutsalo (2011),,
PR,Finland,1980,1984,M+F,15,49,71,2.2,1.8,2.8,,,Harjutsalo (2011),,
PR,Finland,1985,1990,M+F,15,49,57,2.9,2.2,3.7,,,Harjutsalo (2011),,
PR,Japan,1952,1979,M+F,0,30,28,3,1.9,4.2,,,Otani (2015),,
PR,Japan,1980,1989,M+F,0,30,18,2.2,1.2,3.2,,,Otani (2015),,
PR,Japan,1990,1999,M+F,0,30,6,1.6,0.3,2.9,,,Otani (2015),,
PR,Japan,1952,1999,M,0,30,27,2.5,1.6,3.4,,,Otani (2015),,
PR,Japan,1952,1999,F,0,30,25,3.2,1.9,4.4,,,Otani (2015),,
PR,Taiwan,1999,2010,M,0,14,11,4.6,3.21,5.98,,,Lin (2014),,
PR,Taiwan,1999,2010,M,15,29,37,5.97,4.99,6.95,,,Lin (2014),,
PR,Taiwan,1999,2010,M,30,44,75,5.3,4.69,5.91,,,Lin (2014),,
PR,Taiwan,1999,2010,M,45,60,30,2.24,1.83,2.65,,,Lin (2014),,
PR,Taiwan,1999,2010,M,60,99,33,0.93,0.77,1.1,,,Lin (2014),,
PR,Taiwan,1999,2010,M,0,99,186,2.66,2.46,2.85,,,Lin (2014),,
PR,Taiwan,1999,2010,F,0,14,10,4.34,2.97,5.71,,,Lin (2014),,
PR,Taiwan,1999,2010,F,15,29,44,12.91,10.96,14.86,,,Lin (2014),,
PR,Taiwan,1999,2010,F,30,44,34,7.92,6.56,9.27,,,Lin (2014),,
PR,Taiwan,1999,2010,F,45,60,25,4.55,3.64,5.46,,,Lin (2014),,
PR,Taiwan,1999,2010,F,60,99,34,1.28,1.06,1.5,,,Lin (2014),,
PR,Taiwan,1999,2010,F,0,99,147,3.58,3.28,3.87,,,Lin (2014),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,0,4,3,2.96,6,8.68,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,5,9,3,8.14,16.4,23.77,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,10,14,4,2.41,2.7,8.68,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,15,19,10,4.42,21.2,8.13,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,20,24,4,2.41,6.5,6.17,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,25,29,4,6.61,17.8,16.93,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,30,34,0,0,0,0,,,Warner (1998),,
PR,"United Kingdom, Yorkshire",1978,1995,M+F,0,34,26,2.47,1.61,3.62,,,Warner (1998),,
PR,United Kingdom,1989,2012,M+F,0,14,10,4.43,2.12,8.15,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,15,19,10,2.04,9.8,3.76,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,20,24,9,1.9,8.7,3.61,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,25,29,17,5.4,3.14,8.64,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,30,34,6,2.85,1.04,6.2,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,35,99,7,2.52,1.01,5.19,,,Morgan (2018),,
PR,United Kingdom,1989,2012,M+F,0,99,59,2.96,2.26,3.82,,,Morgan (2018),,
PR,United Kingdom,1978,2013,M+F,0,30,229,4.3,3.8,4.9,,,Evans-cheung (2018),,
PR,USA,2002,2008,M+F,0,19,26,0.7,,,,,Reynolds (2018),,
