include,study,year_published,world_bank_name,data_source,notes,min_diagnosis_age,max_diagnosis_age,min_attained_age,max_attained_age,year_diagnosis_start,year_diagnosis_end,year_censor,cases,person_years,deaths,mortality_rate_per1000py,smr,age_at_diagnosis_data,age_at_death_data,condition_duration_data,cohorts
1,"Puberty, IDDM, and death in Japan. Diabetes Epidemiology Research International Study Group.",1998,Japan,,All data in Table 2. SMRs at the bottom,13,30,,,1965,1969,1990,780,7721,18,2.330,5.75,TRUE,FALSE,FALSE,TRUE
1,"Puberty, IDDM, and death in Japan. Diabetes Epidemiology Research International Study Group.",1998,Japan,,All data in Table 2. SMRs at the bottom,13,30,,,1970,1979,1990,251,2470,9,3.640,6.36,TRUE,FALSE,FALSE,TRUE
,Diabetes-related mortality. A pediatrician's view.,2001,,,Commentary on T1D mortality reporting. Suggests separating into early and late mortality groups due to different complications.,,,,,,,,,,,,,,,,
,The 1984 Tasmanian insulin treated diabetes mellitus prevalence cohort: an eight and a half year mortality follow-up investigation.,1995,Australia,Tasmanian Insulin Treated Diabetes Register,Tasmania. IDDM diagnosis age <30 point. Doesn't include mortality rate or person-years for group A.,0,29,,,1960,1984,1993,480,,49,,4.6,TRUE,TRUE,TRUE,FALSE
,Association between 7 years of intensive treatment of type 1 diabetes and long-term mortality.,2015,United States,DCCT; EDIC,No SMR value. Clinical trial intensive vs conventional treatment. Conventional treatment numbers used here. Some Canadian states.,0,30,,,1983,1993,2012,730,18518,64,346.0000,,FALSE,FALSE,FALSE,FALSE
,"Short-term mortality risk in children and young adults with type 1 diabetes: the population-based Registry of the Province of Turin, Italy.",2009,Italy,,Already done,,,,,,,,,,,,,,,,
,Mortality in childhood-onset type 1 diabetes: a population-based study.,2005,Sweden,Swedish Childhood Diabetes Register; Swedish Causeof Death Register,Already done,,,,,,,,,,,,,,,,
,"Diabetes mortality in Serbia, 1991-2015 (a nationwide study): A joinpoint regression analysis.",2017,Serbia,Statistical Office of the Republic of Serbia,Cross-sectional study focusing on mortality trends.,,,,,,,,,,,,,,,,
1,Mortality of all incident cases of diabetes mellitus in Sweden diagnosed 1983-1987 at age 15-34 years. Diabetes Incidence Study in Sweden (DISS) Group.,1992,Sweden,Diabetes Incidence Study in Sweden,,15,34,,,1983,1987,1987,1467,3842,6,1.5617,2.1,FALSE,FALSE,FALSE,FALSE
,Long-term study of mortality and vascular complications in juvenile-onset (type I) diabetes.,1981,France,,Mortality rates by age group but not total. No SMRs.,0,15,,,1949,1960,1976,372,,26,,,,TRUE,,
,"Microvascular complications burden (nephropathy, retinopathy and peripheral polyneuropathy) affects risk of major vascular events and all-cause mortality in type 1 diabetes: a 10-year follow-up study.",2019,Italy,Diabetes Outpatient Clinic of the Azienda Ospedaliero-Universitaria Pisana; Italian Health Card Database,No SMRs. Evaluates relationship between microvascular complications burden and incidence of major cardiovascular events and all-cause mortality.,0,35,,,2001,2009,2017,774,8387,54,6.4400,,FALSE,FALSE,FALSE,FALSE
,Diabetes. Excess mortality in well-controlled T1DM without renal disease.,2015,,,News story on study linking any level of glycaemia to increased mortality risk.,,,,,,,,,,,,,,,,
,The investigation of age at onset as a risk factor for mortality in persons with insulin-dependent diabetes mellitus using Cox proportional hazards models.,1991,United States,,Pennsylvania. Cox proportional hazard models. No mortality rates.,,,,,,,,,,,,,,,,
,"Descriptive epidemiology of type 1 diabetes in youth: incidence, mortality, prevalence, and secular trends.",2008,,,"Textbook. Quick search of mortality rate reveals in their modelling: ""It is globally assumed that the mortally rate is decreasing by 2% annually from year 2000 under the expectation of continuous improvements in the access to insulin and diabetes care in less developed societies"" Table 1 has some numbers for T1D mortality rates, but not clear on source.",,,,,,,,,,,,,,,,
1,Cause-specific mortality in a population with diabetes: South Tees Diabetes Mortality Study.,2002,United Kingdom,,South Tees. Cross section.,0,79,,,1994,1994,1999,761,4393,52,11.8370,4.197120419,FALSE,TRUE,FALSE,FALSE
,Sudden unexpected death in childhood due to unsuspected diabetes mellitus.,1994,,,Case study,,,,,,,,,,,,,,,,
,"The double mortality burden among adults in Addis Ababa, Ethiopia, 2006-2009.",2012,Ethiopia,,Multiple causes of death. T1D and T2D numbers combined.,,,,,,,,,,,,,,,,
,Incidence of and mortality from Type I diabetes in Taiwan from 1999 through 2010: a nationwide cohort study.,2014,Taiwan,,Mortality rate and person years not included.,,,,,1999,2010,2010,7225,,,,3,TRUE,,TRUE,
1,Risk factors for mortality in a diverse cohort of patients with childhood-onset diabetes in Chicago.,2007,United States,Chicago Childhood Diabetes Registry; Security Death Index; National Death Index,Illinois. Cohort and diagnosis age data available. But no SMR or expected number of death values.,0,17,,,1985,2000,2000,1238,9596,30,3.130,2.349807211,FALSE,FALSE,FALSE,FALSE
,Diabetic retinopathy is associated with mortality and cardiovascular disease incidence: the EURODIAB prospective complications study.,2005,,EURODIAB,No SMRs.,,,,,,,,,,,,,,,,
,Mortality risk in long-standing type 1 diabetes: hope and concern.,2010,,Alleghany County Type1 Diabetes Registry,"Commentary for issue of Diabetes. Introduces ""Cause-specificmortality trends in a large population-based cohort with long-standingchildhood-onset type 1 diabetes."" study",,,,,,,,,,,,,,,,
,"In the absence of renal disease, 20 year mortality risk in type 1 diabetes is comparable to that of the general population: a report from the Pittsburgh Epidemiology of Diabetes Complications Study.",2010,Finland,FinnDiane,Check if other Finland studies already using FinnDiane data,,,,,,,,,,,,,,,,
,"The British Diabetic Association Cohort Study, II: cause-specific mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,"Data already included in first paper: ""The British Diabetic Association Cohort Study, I"". May have some other useful cuts of the data.",,,,,,,,,,,,,,TRUE,,
,"Onset mortality of type I diabetes in 0 to 19-year-old children in The Netherlands, 1988-1990.",1995,Netherlands,,"Short paper. No SMR, mortality rate or person years",,,,,,,,,,,,,,,,
,Mortality and natural progression of type 1 diabetes patients enrolled in the Rwanda LFAC program from 2004 to 2012,2017,Rwanda,,Already done,,,,,,,,,,,,,,,,
,Clinical profile of diabetes at diagnosis among children and adolescents at an endocrine clinic in Ghana,2017,Ghana,,Already done,,,,,,,,,,,,,,,,
